% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
19.305	4	1	1931	6	1	28	2292
19.315	4	1	1932	6	1	28	2292
19.325	4	1	1933	6	1	28	2292
19.335	4	1	1934	6	1	28	2292
19.345	4	1	1935	6	1	28	2292
19.355	4	1	1936	6	1	28	2292
19.365	4	1	1937	6	1	28	2292
19.375	4	1	1938	6	1	28	2292
19.385	4	1	1939	6	1	28	2292
19.395	4	1	1940	6	1	28	2292
19.405	4	1	1941	6	1	28	2292
19.415	4	1	1942	6	1	28	2292
19.425	4	1	1943	6	1	28	2292
19.435	4	1	1944	6	1	28	2292
19.445	4	1	1945	6	1	28	2292
19.455	4	1	1946	6	1	28	2292
19.465	4	1	1947	6	1	28	2292
19.475	4	1	1948	6	1	28	2292
19.485	4	1	1949	6	1	28	2292
19.495	4	1	1950	6	1	28	2292
19.505	4	1	1951	6	1	28	2292
19.515	4	1	1952	6	1	28	2292
19.525	4	1	1953	6	1	28	2292
19.535	4	1	1954	6	1	28	2292
19.545	4	1	1955	6	1	28	2292
19.555	4	1	1956	6	1	28	2292
19.565	4	1	1957	6	1	28	2292
19.575	4	1	1958	6	1	28	2292
19.585	4	1	1959	6	1	28	2292
19.595	4	1	1960	6	1	28	2292
19.605	4	1	1961	6	1	28	2292
19.615	4	1	1962	6	1	28	2292
19.625	4	1	1963	6	1	28	2292
19.635	4	1	1964	6	1	28	2292
19.645	4	1	1965	6	1	28	2292
19.655	4	1	1966	6	1	28	2292
19.665	4	1	1967	6	1	28	2292
19.675	4	1	1968	6	1	28	2292
19.685	4	1	1969	6	1	28	2292
19.695	4	1	1970	6	1	28	2292
19.705	4	1	1971	6	1	28	2292
19.715	4	1	1972	6	1	28	2292
19.725	4	1	1973	6	1	28	2292
19.735	4	1	1974	6	1	28	2292
19.745	4	1	1975	6	1	28	2292
19.755	4	1	1976	6	1	28	2292
19.765	4	1	1977	6	1	28	2292
19.775	4	1	1978	6	1	28	2292
19.785	4	1	1979	6	1	28	2292
19.795	4	1	1980	6	1	28	2292
19.805	4	1	1981	6	1	28	2292
19.815	4	1	1982	6	1	28	2292
19.825	4	1	1983	6	1	28	2292
19.835	4	1	1984	6	1	28	2292
19.845	4	1	1985	6	1	28	2292
19.855	4	1	1986	6	1	28	2292
19.865	4	1	1987	6	1	28	2292
19.875	4	1	1988	6	1	28	2292
19.885	4	1	1989	6	1	28	2292
19.895	4	1	1990	6	1	28	2292
19.905	4	1	1991	6	1	28	2292
19.915	4	1	1992	6	1	28	2292
19.925	4	1	1993	6	1	28	2292
19.935	4	1	1994	6	1	28	2292
19.945	4	1	1995	6	1	28	2292
19.955	4	1	1996	6	1	28	2292
19.965	4	1	1997	6	1	28	2292
19.975	4	1	1998	6	1	28	2292
19.985	4	1	1999	6	1	28	2292
19.995	4	1	2000	6	1	28	2292
20.005	4	1	2001	6	1	28	2292
20.015	4	1	2002	6	1	28	2292
20.025	4	1	2003	6	1	28	2292
20.035	4	1	2004	6	1	28	2292
20.045	4	1	2005	6	1	28	2292
20.055	4	1	2006	6	1	28	2292
20.065	4	1	2007	6	1	28	2292
